lemma,pos,verdict,nT,nF,n_syn,n_clusters,lexfiles
radiate,V,HOMONYM_CAND,1,1,8,8,verb.change|verb.emotion|verb.perception|verb.stative|verb.weather
choke,V,HOMONYM_CAND,0,2,14,10,verb.body|verb.change|verb.contact|verb.social
plug,V,HOMONYM_CAND,1,1,6,5,verb.change|verb.communication|verb.contact
washout,N,HOMONYM_CAND,0,2,3,2,noun.person|noun.process|noun.shape
occupy,V,HOMONYM_CAND,1,1,8,8,verb.cognition|verb.competition|verb.possession|verb.social|verb.stative
style,N,HOMONYM_CAND,1,1,9,2,noun.animal|noun.artifact|noun.attribute|noun.cognition|noun.communication|noun.plant
return,V,HOMONYM_CAND,2,0,16,13,verb.change|verb.communication|verb.contact|verb.creation|verb.motion|verb.possession|verb.social
buildup,N,HOMONYM_CAND,1,1,3,2,noun.act|noun.communication|noun.process
sing,V,HOMONYM_CAND,2,0,5,3,verb.communication|verb.creation
fill,V,HOMONYM_CAND,1,1,9,9,verb.change|verb.consumption|verb.social|verb.stative
length,N,HOMONYM_CAND,1,1,5,2,noun.artifact|noun.attribute
level,V,HOMONYM_CAND,1,1,6,4,verb.change|verb.communication|verb.competition|verb.contact|verb.creation
left,N,HOMONYM_CAND,0,2,5,2,noun.act|noun.artifact|noun.body|noun.group|noun.location
agonist,N,HOMONYM_CAND,1,1,4,2,noun.artifact|noun.body|noun.person
behave,V,HOMONYM_CAND,0,2,3,3,verb.body|verb.social
source,N,HOMONYM_CAND,0,2,9,2,noun.artifact|noun.cognition|noun.communication|noun.location|noun.object|noun.person|noun.process
head,V,HOMONYM_CAND,1,1,9,9,verb.contact|verb.motion|verb.social|verb.stative
wear,V,HOMONYM_CAND,0,2,9,8,verb.body|verb.change|verb.contact|verb.stative
sequence,N,HOMONYM_CAND,1,1,5,2,noun.act|noun.artifact|noun.attribute|noun.event|noun.group
register,V,HOMONYM_CAND,0,2,10,8,verb.cognition|verb.communication|verb.creation|verb.perception|verb.social
station,N,HOMONYM_CAND,2,0,5,2,noun.artifact|noun.attribute|noun.location|noun.state
clip,N,HOMONYM_CAND,1,1,6,2,noun.act|noun.artifact|noun.event
bull,N,HOMONYM_CAND,0,2,11,2,noun.act|noun.animal|noun.communication|noun.location|noun.person
represent,V,HOMONYM_CAND,0,2,15,10,verb.change|verb.communication|verb.creation|verb.social|verb.stative
empty,V,HOMONYM_CAND,2,0,5,5,verb.body|verb.change|verb.contact|verb.motion
coast,N,HOMONYM_CAND,0,2,4,2,noun.act|noun.cognition|noun.object
air,V,HOMONYM_CAND,1,1,6,5,verb.change|verb.communication|verb.perception
eat,V,HOMONYM_CAND,2,0,6,5,verb.change|verb.consumption|verb.emotion
passing,N,HOMONYM_CAND,0,2,7,2,noun.act|noun.event
want,V,HOMONYM_CAND,1,1,5,5,verb.cognition|verb.consumption|verb.contact|verb.emotion|verb.stative
waste,V,HOMONYM_CAND,1,1,10,10,verb.body|verb.change|verb.consumption|verb.contact|verb.motion|verb.possession
mother,N,HOMONYM_CAND,1,1,5,2,noun.cognition|noun.person|noun.substance
flood,V,HOMONYM_CAND,0,2,4,4,verb.change|verb.contact|verb.possession
energy,N,HOMONYM_CAND,0,2,7,2,noun.attribute|noun.group|noun.phenomenon|noun.state
reek,V,HOMONYM_CAND,1,1,4,4,verb.body|verb.perception|verb.weather
capture,V,HOMONYM_CAND,1,1,6,6,verb.contact|verb.creation|verb.emotion|verb.possession
flick,V,HOMONYM_CAND,0,2,9,9,verb.change|verb.contact|verb.motion|verb.perception|verb.weather
moon,N,HOMONYM_CAND,2,0,6,2,noun.object|noun.person|noun.phenomenon|noun.time
define,V,HOMONYM_CAND,1,1,5,4,verb.communication|verb.stative
arousal,N,HOMONYM_CAND,2,0,4,2,noun.act|noun.cognition|noun.state
lap,N,HOMONYM_CAND,0,2,6,2,noun.act|noun.artifact|noun.body|noun.state
stand,N,HOMONYM_CAND,0,2,12,2,noun.act|noun.artifact|noun.cognition|noun.event|noun.group|noun.location
tendency,N,HOMONYM_CAND,1,1,4,2,noun.attribute|noun.cognition|noun.feeling|noun.location
correct,V,HOMONYM_CAND,0,2,8,7,verb.body|verb.change|verb.communication|verb.motion|verb.social|verb.stative
crystallize,V,HOMONYM_CAND,2,0,4,3,verb.change|verb.cognition
rise,V,HOMONYM_CAND,0,2,17,14,verb.body|verb.change|verb.competition|verb.emotion|verb.motion|verb.social|verb.stative
rig,V,HOMONYM_CAND,0,2,4,4,verb.change|verb.contact|verb.possession|verb.social
depth,N,HOMONYM_CAND,1,1,6,2,noun.attribute|noun.cognition|noun.location|noun.state
umbrella,N,HOMONYM_CAND,1,1,3,2,noun.act|noun.artifact
fringe,N,HOMONYM_CAND,0,2,6,2,noun.artifact|noun.body|noun.group|noun.location|noun.phenomenon|noun.shape
mechanism,N,HOMONYM_CAND,2,0,5,2,noun.act|noun.artifact|noun.cognition|noun.object|noun.process
power,N,HOMONYM_CAND,1,1,9,2,noun.attribute|noun.cognition|noun.communication|noun.group|noun.person|noun.phenomenon|noun.state
glass,N,HOMONYM_CAND,1,1,7,2,noun.artifact|noun.quantity|noun.substance
owe,V,HOMONYM_CAND,2,0,3,3,verb.possession|verb.stative
bounce,V,HOMONYM_CAND,0,2,7,6,verb.contact|verb.motion|verb.possession
swing,N,HOMONYM_CAND,1,1,9,2,noun.act|noun.artifact|noun.attribute|noun.communication|noun.state
header,N,HOMONYM_CAND,0,2,7,2,noun.act|noun.artifact|noun.communication
background,N,HOMONYM_CAND,1,1,8,2,noun.artifact|noun.attribute|noun.cognition|noun.event|noun.state
write,V,HOMONYM_CAND,0,2,10,8,verb.communication|verb.creation
spin,V,HOMONYM_CAND,0,2,8,8,verb.change|verb.communication|verb.contact|verb.creation|verb.motion
portfolio,N,HOMONYM_CAND,1,1,4,2,noun.act|noun.artifact|noun.communication|noun.group
rotate,V,HOMONYM_CAND,0,2,6,5,verb.change|verb.competition|verb.motion|verb.social
conceive,V,HOMONYM_CAND,1,1,3,3,verb.body|verb.cognition|verb.creation
loosen,V,HOMONYM_CAND,1,1,7,7,verb.change|verb.contact|verb.social
bring,V,HOMONYM_CAND,1,1,11,11,verb.change|verb.communication|verb.contact|verb.creation|verb.emotion|verb.motion|verb.possession
whisk,V,HOMONYM_CAND,1,1,4,4,verb.contact|verb.motion
snow,V,HOMONYM_CAND,2,0,2,2,verb.communication|verb.weather
wander,V,HOMONYM_CAND,1,1,5,4,verb.communication|verb.motion|verb.social
failure,N,HOMONYM_CAND,2,0,7,2,noun.act|noun.event|noun.person|noun.state
concord,V,HOMONYM_CAND,0,2,4,4,verb.communication|verb.contact|verb.creation|verb.stative
park,V,HOMONYM_CAND,1,1,2,2,verb.contact|verb.motion
scratch,V,HOMONYM_CAND,0,2,7,6,verb.contact|verb.perception|verb.social
rule,N,HOMONYM_CAND,0,2,12,2,noun.artifact|noun.cognition|noun.communication|noun.state|noun.time
dish,N,HOMONYM_CAND,0,2,6,2,noun.act|noun.artifact|noun.food|noun.person|noun.quantity
community,N,HOMONYM_CAND,0,2,6,2,noun.group|noun.location|noun.possession|noun.state
capital,N,HOMONYM_CAND,2,0,8,2,noun.artifact|noun.communication|noun.group|noun.location|noun.possession
setting,N,HOMONYM_CAND,0,2,7,2,noun.artifact|noun.location|noun.state
permit,V,HOMONYM_CAND,1,1,3,2,verb.communication|verb.social
array,N,HOMONYM_CAND,2,0,4,2,noun.artifact|noun.communication|noun.group
ring,N,HOMONYM_CAND,1,1,9,2,noun.artifact|noun.attribute|noun.event|noun.group|noun.object|noun.shape
brush,V,HOMONYM_CAND,1,1,6,6,verb.change|verb.contact|verb.motion
flap,N,HOMONYM_CAND,2,0,5,2,noun.artifact|noun.body|noun.event|noun.state
grave,N,HOMONYM_CAND,1,1,3,2,noun.artifact|noun.communication|noun.time
competition,N,HOMONYM_CAND,0,2,4,2,noun.act|noun.event|noun.person|noun.relation
negociate,V,HOMONYM_CAND,0,2,6,5,verb.communication|verb.motion|verb.possession|verb.social
tip,V,HOMONYM_CAND,0,2,9,9,verb.change|verb.communication|verb.contact|verb.motion|verb.possession
strengthen,V,HOMONYM_CAND,2,0,3,3,verb.body|verb.change
locate,V,HOMONYM_CAND,1,1,4,4,verb.change|verb.possession|verb.stative
spell,V,HOMONYM_CAND,0,2,6,6,verb.change|verb.communication|verb.creation|verb.social
roll,N,HOMONYM_CAND,1,1,15,2,noun.act|noun.artifact|noun.communication|noun.event|noun.food|noun.possession|noun.shape
ribbon,N,HOMONYM_CAND,2,0,4,2,noun.artifact|noun.communication|noun.object
press,N,HOMONYM_CAND,0,2,9,2,noun.act|noun.artifact|noun.communication|noun.group|noun.state
produce,V,HOMONYM_CAND,1,1,7,7,verb.body|verb.creation|verb.perception
brush,N,HOMONYM_CAND,2,0,9,2,noun.act|noun.animal|noun.artifact|noun.event|noun.group
torrent,N,HOMONYM_CAND,1,1,3,2,noun.event|noun.phenomenon|noun.quantity
setup,N,HOMONYM_CAND,1,1,3,2,noun.act|noun.artifact|noun.attribute
electrify,V,HOMONYM_CAND,1,1,3,3,verb.change|verb.emotion
model,N,HOMONYM_CAND,1,1,9,2,noun.act|noun.artifact|noun.cognition|noun.person
tense,V,HOMONYM_CAND,1,1,4,4,verb.body|verb.change|verb.contact
fly,V,HOMONYM_CAND,0,2,14,14,verb.change|verb.contact|verb.motion|verb.perception
extract,V,HOMONYM_CAND,1,1,8,8,verb.change|verb.cognition|verb.contact|verb.creation|verb.possession
trade,V,HOMONYM_CAND,1,1,5,4,verb.possession|verb.stative
substitute,V,HOMONYM_CAND,2,0,3,3,verb.possession|verb.social
suspect,V,HOMONYM_CAND,2,0,3,2,verb.cognition|verb.communication
ditch,V,HOMONYM_CAND,1,1,6,6,verb.contact|verb.motion|verb.possession
cry,V,HOMONYM_CAND,2,0,7,7,verb.body|verb.communication|verb.consumption
view,V,HOMONYM_CAND,2,0,3,3,verb.cognition|verb.perception
poison,N,HOMONYM_CAND,1,1,2,2,noun.attribute|noun.substance
implement,V,HOMONYM_CAND,0,2,3,3,verb.change|verb.social
sound,V,HOMONYM_CAND,1,1,7,6,verb.change|verb.communication|verb.perception
reflection,N,HOMONYM_CAND,0,2,8,2,noun.artifact|noun.attribute|noun.cognition|noun.communication|noun.phenomenon|noun.relation
tease,V,HOMONYM_CAND,0,2,9,7,verb.body|verb.communication|verb.contact|verb.emotion
goal,N,HOMONYM_CAND,0,2,4,2,noun.act|noun.artifact|noun.cognition|noun.location
skeleton,N,HOMONYM_CAND,1,1,4,2,noun.artifact|noun.body|noun.event|noun.quantity
bite,N,HOMONYM_CAND,0,2,9,2,noun.act|noun.attribute|noun.communication|noun.event|noun.food|noun.state
backup,N,HOMONYM_CAND,2,0,5,2,noun.act|noun.artifact|noun.communication|noun.person|noun.process
story,N,HOMONYM_CAND,1,1,6,2,noun.artifact|noun.communication
hearing,N,HOMONYM_CAND,1,1,6,2,noun.act|noun.cognition|noun.communication|noun.location|noun.state
affinity,N,HOMONYM_CAND,1,1,7,2,noun.attribute|noun.phenomenon|noun.relation
smear,V,HOMONYM_CAND,1,1,4,4,verb.communication|verb.contact
hold,N,HOMONYM_CAND,1,1,9,2,noun.act|noun.artifact|noun.attribute|noun.cognition|noun.state|noun.time
screen,V,HOMONYM_CAND,0,2,7,7,verb.cognition|verb.competition|verb.contact|verb.perception|verb.social
rake,V,HOMONYM_CAND,0,2,6,6,verb.contact|verb.motion|verb.perception|verb.stative
irritate,V,HOMONYM_CAND,0,2,3,3,verb.body|verb.change|verb.emotion
facility,N,HOMONYM_CAND,0,2,5,2,noun.act|noun.artifact|noun.attribute|noun.cognition
wear,N,HOMONYM_CAND,0,2,3,2,noun.act|noun.artifact|noun.state
provide,V,HOMONYM_CAND,1,1,7,4,verb.change|verb.communication|verb.consumption|verb.possession|verb.social|verb.stative
front,N,HOMONYM_CAND,1,1,10,2,noun.artifact|noun.cognition|noun.group|noun.location|noun.person|noun.phenomenon|noun.state
drip,V,HOMONYM_CAND,2,0,2,2,verb.contact|verb.motion
undo,V,HOMONYM_CAND,1,1,5,5,verb.contact|verb.creation|verb.social
squeeze,N,HOMONYM_CAND,0,2,8,2,noun.act|noun.event|noun.person|noun.possession|noun.state
scrub,V,HOMONYM_CAND,1,1,3,3,verb.body|verb.contact|verb.social
sweep,V,HOMONYM_CAND,0,2,9,8,verb.competition|verb.contact|verb.motion|verb.stative
water,V,HOMONYM_CAND,2,0,4,4,verb.body|verb.change|verb.possession
throw,N,HOMONYM_CAND,1,1,5,2,noun.act|noun.artifact|noun.event|noun.state
ping,V,HOMONYM_CAND,0,2,5,3,verb.communication|verb.contact|verb.perception
consider,V,HOMONYM_CAND,0,2,9,7,verb.cognition|verb.communication|verb.perception
guard,V,HOMONYM_CAND,1,1,4,3,verb.competition|verb.social
converge,V,HOMONYM_CAND,0,2,4,4,verb.change|verb.motion|verb.stative
building,N,HOMONYM_CAND,1,1,4,2,noun.act|noun.artifact|noun.group
seek,V,HOMONYM_CAND,2,0,5,5,verb.communication|verb.contact|verb.motion|verb.possession|verb.social
grate,V,HOMONYM_CAND,1,1,5,4,verb.contact|verb.emotion|verb.possession
utility,N,HOMONYM_CAND,1,1,6,2,noun.act|noun.artifact|noun.attribute|noun.communication|noun.group|noun.quantity
hedge,V,HOMONYM_CAND,2,0,4,3,verb.change|verb.communication|verb.contact
include,V,HOMONYM_CAND,1,1,4,4,verb.change|verb.cognition|verb.social|verb.stative
protection,N,HOMONYM_CAND,0,2,7,2,noun.act|noun.artifact|noun.possession|noun.state
shade,V,HOMONYM_CAND,1,1,5,5,verb.change|verb.contact|verb.creation|verb.weather
distribute,V,HOMONYM_CAND,0,2,10,9,verb.communication|verb.contact|verb.motion|verb.possession|verb.social|verb.stative
pattern,N,HOMONYM_CAND,1,1,8,2,noun.act|noun.artifact|noun.cognition|noun.communication|noun.location
dip,V,HOMONYM_CAND,0,2,14,11,verb.change|verb.consumption|verb.contact|verb.creation|verb.motion|verb.perception|verb.possession
pump,V,HOMONYM_CAND,1,1,8,8,verb.communication|verb.competition|verb.contact|verb.motion|verb.possession
add,V,HOMONYM_CAND,0,2,6,6,verb.change|verb.cognition|verb.communication|verb.possession|verb.stative
strangle,V,HOMONYM_CAND,1,1,6,5,verb.body|verb.change|verb.contact
board,N,HOMONYM_CAND,0,2,9,2,noun.artifact|noun.food|noun.group|noun.substance
circulate,V,HOMONYM_CAND,1,1,8,8,verb.change|verb.communication|verb.motion
hook,V,HOMONYM_CAND,1,1,12,10,verb.communication|verb.competition|verb.consumption|verb.contact|verb.creation|verb.possession
pressure,N,HOMONYM_CAND,0,2,7,2,noun.act|noun.attribute|noun.cognition|noun.phenomenon|noun.state
growth,N,HOMONYM_CAND,1,1,7,2,noun.event|noun.group|noun.object|noun.process|noun.state
beat,N,HOMONYM_CAND,0,2,10,2,noun.act|noun.attribute|noun.communication|noun.event|noun.location|noun.person|noun.phenomenon
map,V,HOMONYM_CAND,0,2,6,5,verb.change|verb.cognition|verb.creation|verb.stative
button,N,HOMONYM_CAND,2,0,7,2,noun.artifact|noun.body|noun.communication|noun.plant
excite,V,HOMONYM_CAND,1,1,8,6,verb.change|verb.emotion|verb.perception
exchange,N,HOMONYM_CAND,0,2,11,2,noun.act|noun.artifact|noun.communication|noun.phenomenon
help,N,HOMONYM_CAND,1,1,4,2,noun.act|noun.attribute|noun.person
sign,V,HOMONYM_CAND,2,0,8,5,verb.communication|verb.contact|verb.social
capacity,N,HOMONYM_CAND,0,2,9,2,noun.act|noun.attribute|noun.cognition|noun.phenomenon|noun.quantity|noun.state
plan,V,HOMONYM_CAND,0,2,4,3,verb.cognition|verb.creation
square,N,HOMONYM_CAND,0,2,8,2,noun.artifact|noun.location|noun.person|noun.quantity|noun.shape
plant,V,HOMONYM_CAND,1,1,6,5,verb.cognition|verb.contact|verb.creation|verb.possession
sit,V,HOMONYM_CAND,1,1,10,10,verb.competition|verb.contact|verb.motion|verb.perception|verb.social|verb.stative
contact,V,HOMONYM_CAND,2,0,2,2,verb.communication|verb.contact
exile,N,HOMONYM_CAND,1,1,3,2,noun.act|noun.person
relieve,V,HOMONYM_CAND,0,2,11,11,verb.body|verb.change|verb.communication|verb.emotion|verb.possession|verb.social
moderate,V,HOMONYM_CAND,1,1,6,6,verb.change|verb.communication|verb.social
walk,N,HOMONYM_CAND,0,2,7,2,noun.act|noun.artifact|noun.attribute
shape,N,HOMONYM_CAND,0,2,8,2,noun.Tops|noun.attribute|noun.body|noun.cognition|noun.group|noun.state
activity,N,HOMONYM_CAND,0,2,6,2,noun.act|noun.attribute|noun.process|noun.state
middle,N,HOMONYM_CAND,1,1,4,2,noun.body|noun.cognition|noun.location|noun.time
figure,V,HOMONYM_CAND,2,0,5,5,verb.cognition|verb.creation|verb.stative
twist,V,HOMONYM_CAND,0,2,10,9,verb.body|verb.change|verb.communication|verb.contact|verb.motion|verb.stative
segregate,V,HOMONYM_CAND,2,0,3,2,verb.change|verb.contact|verb.social
steam,V,HOMONYM_CAND,0,2,6,6,verb.change|verb.contact|verb.emotion|verb.motion|verb.weather
foundation,N,HOMONYM_CAND,0,2,7,2,noun.act|noun.artifact|noun.cognition|noun.group|noun.relation
inject,V,HOMONYM_CAND,0,2,6,6,verb.body|verb.change|verb.communication|verb.consumption|verb.contact
grind,V,HOMONYM_CAND,1,1,7,6,verb.change|verb.contact|verb.creation|verb.motion|verb.social
clap,V,HOMONYM_CAND,0,2,7,6,verb.body|verb.communication|verb.contact|verb.motion
conserve,V,HOMONYM_CAND,0,2,4,4,verb.change|verb.possession|verb.stative
appreciate,V,HOMONYM_CAND,1,1,5,4,verb.change|verb.cognition|verb.emotion|verb.possession
solve,V,HOMONYM_CAND,1,1,3,3,verb.cognition|verb.communication
relax,V,HOMONYM_CAND,1,1,8,8,verb.body|verb.change|verb.social
administer,V,HOMONYM_CAND,0,2,5,3,verb.body|verb.possession|verb.social
miss,V,HOMONYM_CAND,2,0,9,9,verb.cognition|verb.communication|verb.contact|verb.emotion|verb.motion|verb.perception|verb.stative
trip,N,HOMONYM_CAND,1,1,7,2,noun.act|noun.artifact|noun.event|noun.state
favor,N,HOMONYM_CAND,1,1,5,2,noun.act|noun.artifact|noun.attribute|noun.cognition|noun.feeling
guard,N,HOMONYM_CAND,0,2,10,2,noun.act|noun.artifact|noun.attribute|noun.group|noun.person
score,V,HOMONYM_CAND,0,2,7,7,verb.cognition|verb.communication|verb.competition|verb.contact|verb.creation
nature,N,HOMONYM_CAND,0,2,5,2,noun.attribute|noun.cognition|noun.object|noun.person
march,N,HOMONYM_CAND,1,1,7,2,noun.act|noun.communication|noun.group|noun.location|noun.time
suppress,V,HOMONYM_CAND,2,0,5,3,verb.change|verb.cognition|verb.social
answer,N,HOMONYM_CAND,2,0,5,2,noun.act|noun.communication
wind,N,HOMONYM_CAND,0,2,8,2,noun.act|noun.artifact|noun.communication|noun.phenomenon
enjoy,V,HOMONYM_CAND,1,1,5,5,verb.consumption|verb.emotion|verb.perception
model,V,HOMONYM_CAND,1,1,6,4,verb.creation|verb.perception
pluck,V,HOMONYM_CAND,2,0,6,5,verb.contact|verb.possession
deflate,V,HOMONYM_CAND,0,2,6,6,verb.change|verb.communication|verb.contact
edition,N,HOMONYM_CAND,1,1,4,2,noun.cognition|noun.communication|noun.group
foul,V,HOMONYM_CAND,1,1,7,6,verb.change|verb.competition|verb.contact
network,N,HOMONYM_CAND,0,2,5,2,noun.artifact|noun.group
issue,N,HOMONYM_CAND,0,2,11,2,noun.act|noun.artifact|noun.cognition|noun.communication|noun.event|noun.person|noun.phenomenon|noun.possession
balance,V,HOMONYM_CAND,2,0,4,4,verb.contact|verb.possession|verb.stative
tack,V,HOMONYM_CAND,1,1,6,4,verb.change|verb.contact|verb.creation|verb.motion
elaborate,V,HOMONYM_CAND,1,1,4,4,verb.change|verb.communication|verb.creation
pickup,N,HOMONYM_CAND,0,2,9,2,noun.act|noun.artifact|noun.attribute|noun.communication|noun.person
blaze,N,HOMONYM_CAND,1,1,5,2,noun.act|noun.attribute|noun.event|noun.process
circuit,N,HOMONYM_CAND,2,0,7,2,noun.act|noun.artifact|noun.group|noun.location
file,V,HOMONYM_CAND,1,1,5,4,verb.communication|verb.contact|verb.motion
person,N,HOMONYM_CAND,1,0,3,2,noun.Tops|noun.body|noun.communication
cube,N,HOMONYM_CAND,1,0,5,2,noun.artifact|noun.plant|noun.quantity|noun.shape
smooth,V,HOMONYM_CAND,0,1,3,3,verb.contact|verb.possession
wreck,N,HOMONYM_CAND,1,0,4,2,noun.artifact|noun.event|noun.state
ream,V,HOMONYM_CAND,0,1,3,3,verb.change|verb.contact
stake,V,HOMONYM_CAND,0,1,5,5,verb.competition|verb.contact|verb.social
drug,V,HOMONYM_CAND,1,0,2,2,verb.body|verb.consumption
visit,V,HOMONYM_CAND,0,1,8,7,verb.change|verb.communication|verb.motion|verb.social|verb.stative
stain,V,HOMONYM_CAND,1,0,4,3,verb.change|verb.contact
continue,V,HOMONYM_CAND,0,1,10,9,verb.change|verb.communication|verb.motion|verb.social|verb.stative
thread,N,HOMONYM_CAND,1,0,4,2,noun.artifact|noun.cognition|noun.object
tumble,V,HOMONYM_CAND,0,1,11,11,verb.body|verb.change|verb.cognition|verb.contact|verb.motion
exercise,V,HOMONYM_CAND,1,0,5,5,verb.body|verb.cognition|verb.consumption|verb.social
track,V,HOMONYM_CAND,0,1,5,5,verb.creation|verb.motion|verb.perception
feast,N,HOMONYM_CAND,0,1,4,2,noun.event|noun.food|noun.group
tramp,N,HOMONYM_CAND,0,1,6,2,noun.act|noun.artifact|noun.event|noun.person
service,V,HOMONYM_CAND,1,0,3,3,verb.change|verb.contact|verb.social
dent,N,HOMONYM_CAND,0,1,3,2,noun.attribute|noun.phenomenon|noun.shape
reproduction,N,HOMONYM_CAND,1,0,5,2,noun.act|noun.artifact|noun.cognition|noun.process
multiply,V,HOMONYM_CAND,1,0,4,3,verb.body|verb.change|verb.cognition
speak,V,HOMONYM_CAND,1,0,5,3,verb.communication|verb.perception
patch,V,HOMONYM_CAND,0,1,4,3,verb.change|verb.contact|verb.possession
field,V,HOMONYM_CAND,1,0,4,4,verb.cognition|verb.communication|verb.competition
market,N,HOMONYM_CAND,1,0,5,2,noun.act|noun.artifact|noun.group
mince,V,HOMONYM_CAND,1,0,3,3,verb.communication|verb.contact|verb.motion
beachhead,N,HOMONYM_CAND,0,1,2,2,noun.act|noun.location
rest,V,HOMONYM_CAND,1,0,11,10,verb.body|verb.change|verb.communication|verb.contact|verb.social|verb.stative
levy,V,HOMONYM_CAND,1,0,2,2,verb.competition|verb.possession
beauty,N,HOMONYM_CAND,0,1,3,2,noun.attribute|noun.cognition|noun.person
prove,V,HOMONYM_CAND,0,1,9,7,verb.cognition|verb.communication|verb.creation|verb.motion|verb.social|verb.stative
boss,N,HOMONYM_CAND,1,0,6,2,noun.animal|noun.artifact|noun.person
race,V,HOMONYM_CAND,1,0,4,4,verb.competition|verb.motion|verb.social
vault,N,HOMONYM_CAND,1,0,4,2,noun.act|noun.artifact
stuff,V,HOMONYM_CAND,0,1,7,5,verb.change|verb.consumption|verb.contact|verb.motion
shape,V,HOMONYM_CAND,0,1,3,3,verb.change|verb.cognition|verb.creation
plan,N,HOMONYM_CAND,1,0,3,2,noun.artifact|noun.cognition
relate,V,HOMONYM_CAND,1,0,5,4,verb.cognition|verb.communication|verb.social|verb.stative
structure,N,HOMONYM_CAND,0,1,5,2,noun.artifact|noun.attribute|noun.body|noun.cognition|noun.group
oblige,V,HOMONYM_CAND,1,0,3,3,verb.communication|verb.social
precede,V,HOMONYM_CAND,0,1,5,5,verb.communication|verb.motion|verb.social|verb.stative
inactivation,N,HOMONYM_CAND,1,0,2,2,noun.act|noun.process
perversion,N,HOMONYM_CAND,1,0,3,2,noun.act|noun.shape
trick,N,HOMONYM_CAND,0,1,7,2,noun.act|noun.person|noun.time
whet,V,HOMONYM_CAND,1,0,2,2,verb.contact|verb.perception
formula,N,HOMONYM_CAND,0,1,7,2,noun.cognition|noun.communication|noun.food
anchorage,N,HOMONYM_CAND,1,0,5,2,noun.act|noun.location|noun.possession|noun.state
transplant,N,HOMONYM_CAND,1,0,3,2,noun.act|noun.body
remain,V,HOMONYM_CAND,0,1,4,4,verb.change|verb.stative
efface,V,HOMONYM_CAND,0,1,3,3,verb.change|verb.contact|verb.emotion
puncture,V,HOMONYM_CAND,0,1,5,5,verb.change|verb.communication|verb.contact
board,V,HOMONYM_CAND,0,1,4,4,verb.consumption|verb.motion|verb.stative
sow,V,HOMONYM_CAND,1,0,3,2,verb.communication|verb.contact
stopover,N,HOMONYM_CAND,0,1,2,2,noun.act|noun.location
blaze,V,HOMONYM_CAND,0,1,5,5,verb.communication|verb.competition|verb.motion|verb.weather
suck,V,HOMONYM_CAND,0,1,7,7,verb.consumption|verb.contact|verb.motion|verb.perception|verb.stative|verb.weather
couple,V,HOMONYM_CAND,1,0,4,4,verb.contact|verb.social
poise,V,HOMONYM_CAND,1,0,4,4,verb.contact|verb.emotion|verb.motion
test,V,HOMONYM_CAND,0,1,7,7,verb.cognition|verb.communication|verb.competition|verb.social|verb.stative
practice,V,HOMONYM_CAND,1,0,5,5,verb.cognition|verb.creation|verb.social
whole,N,HOMONYM_CAND,1,0,2,2,noun.Tops|noun.cognition
treasure,N,HOMONYM_CAND,0,1,4,2,noun.artifact|noun.group|noun.possession
circulation,N,HOMONYM_CAND,1,0,6,2,noun.act|noun.communication|noun.event|noun.phenomenon|noun.quantity
hinge,N,HOMONYM_CAND,1,0,2,2,noun.artifact|noun.state
limit,N,HOMONYM_CAND,0,1,6,2,noun.attribute|noun.location|noun.quantity|noun.time
footage,N,HOMONYM_CAND,1,0,2,2,noun.artifact|noun.possession
rustle,V,HOMONYM_CAND,0,1,3,3,verb.perception|verb.possession
shower,V,HOMONYM_CAND,0,1,5,4,verb.body|verb.consumption|verb.contact|verb.possession|verb.weather
weapon,N,HOMONYM_CAND,0,1,2,2,noun.artifact|noun.communication
mail,N,HOMONYM_CAND,1,0,5,2,noun.artifact|noun.communication|noun.group
dawn,V,HOMONYM_CAND,0,1,3,3,verb.change|verb.cognition|verb.stative
bind,V,HOMONYM_CAND,0,1,10,6,verb.body|verb.change|verb.communication|verb.contact|verb.social
ghetto,N,HOMONYM_CAND,1,0,3,2,noun.location|noun.state
tame,V,HOMONYM_CAND,0,1,5,4,verb.change|verb.communication
feel,N,HOMONYM_CAND,1,0,4,2,noun.act|noun.attribute|noun.cognition|noun.state
order,V,HOMONYM_CAND,1,0,9,7,verb.change|verb.cognition|verb.communication|verb.social
surgery,N,HOMONYM_CAND,1,0,4,2,noun.act|noun.artifact|noun.cognition
table,N,HOMONYM_CAND,0,1,6,2,noun.artifact|noun.food|noun.group|noun.object
conquer,V,HOMONYM_CAND,1,0,3,3,verb.change|verb.competition|verb.possession
occur,V,HOMONYM_CAND,1,0,3,3,verb.change|verb.cognition|verb.stative
wharf,V,HOMONYM_CAND,0,1,5,5,verb.contact|verb.possession
brighten,V,HOMONYM_CAND,1,0,2,2,verb.change|verb.weather
opener,N,HOMONYM_CAND,1,0,3,2,noun.artifact|noun.event|noun.person
clash,V,HOMONYM_CAND,1,0,3,3,verb.communication|verb.contact|verb.stative
train,V,HOMONYM_CAND,0,1,11,9,verb.body|verb.cognition|verb.communication|verb.competition|verb.contact|verb.motion|verb.social
freshen,V,HOMONYM_CAND,1,0,3,3,verb.body|verb.change
universe,N,HOMONYM_CAND,1,0,3,2,noun.cognition|noun.object
bet,V,HOMONYM_CAND,0,1,3,3,verb.cognition|verb.communication|verb.competition
evade,V,HOMONYM_CAND,0,1,4,4,verb.communication|verb.motion|verb.social
